year;city_code;product_type;product;destinated_area
01/01/1974;960b4f2c94a2fb2c;temporary;Others;0
01/01/1974;746cc42bfb8f6b62;temporary;Others;0
01/01/1974;6cce2bf873870afc;temporary;Others;0
01/01/1974;4de42e351006a2ae;temporary;Others;0
01/01/1974;5b6072f8f6d37acc;temporary;Others;0
01/01/1974;eac302b92f87d9ca;temporary;Others;0
01/01/1974;ab984377b2dc0284;temporary;Others;0
01/01/1974;074590cfc1c41ebf;temporary;Others;0
01/01/1974;0307883b5d063703;temporary;Others;0
01/01/1974;062ce4c17e84291e;temporary;Others;0
01/01/1974;8910840651ee3971;temporary;Others;0
01/01/1974;4c4428f2e4550a5a;temporary;Others;0
01/01/1974;86d92d4b0a058014;temporary;Others;0
01/01/1974;13804a196311e1ba;temporary;Others;0
01/01/1974;f67358b81451a8d1;temporary;Others;0
01/01/1974;68f01d67ad163f32;temporary;Others;0
01/01/1974;71975b563db10671;temporary;Others;0
01/01/1974;df19203419d2ea64;temporary;Others;0
01/01/1974;773cbe24d8fc9fea;temporary;Others;0
01/01/1974;10973d6049af898b;temporary;Others;0
01/01/1974;cf96db4cc35ea025;temporary;Others;0
01/01/1974;4b530007d167bd54;temporary;Others;0
01/01/1974;a4d1e1ff1bc3b830;temporary;Others;0
01/01/1974;0dcbfaab30eb40c1;temporary;Others;0
01/01/1974;47564ef7b8c69829;temporary;Others;0
01/01/1974;1096f26c5a236d0b;temporary;Others;0
01/01/1974;8ef25b4985bc557a;temporary;Others;0
01/01/1974;9d8776ac0a78d908;temporary;Others;0
01/01/1974;07bba1a59af78f2d;temporary;Others;0
01/01/1974;ba23b66825fc1c91;temporary;Others;0
01/01/1974;9bd4f108a319de42;temporary;Others;0
01/01/1974;1d8a692643f9a15a;temporary;Others;0
01/01/1974;cb23149538de1c42;temporary;Others;0
01/01/1974;5e1e131ec84f4c87;temporary;Others;0
01/01/1974;ec84c1e86735dc9b;temporary;Others;0
01/01/1974;11645a57d3a1d507;temporary;Others;0
01/01/1974;85adcb13676b6172;temporary;Others;0
01/01/1974;5b3728d86ce29fd2;temporary;Others;0
01/01/1974;7f076b180f941ec8;temporary;Others;0
01/01/1974;2ad055c7757d499d;temporary;Others;0
01/01/1974;480b0f80325080af;temporary;Others;0
01/01/1974;f39d21744916469c;temporary;Others;0
01/01/1974;fa005e1ffef6032a;temporary;Others;0
01/01/1974;b4829f1e221d9778;temporary;Others;0
01/01/1974;93656feaf53efbef;temporary;Others;0
01/01/1974;588162e9cdf5d66d;temporary;Others;0
01/01/1974;de1994d393ef525a;temporary;Others;0
01/01/1974;a18af8fbae254d86;temporary;Others;0
01/01/1974;8ca7766621b0ffe9;temporary;Others;0
01/01/1974;5e7093a1cd2a8779;temporary;Others;0
01/01/1974;7b95e27ce402e6e5;temporary;Others;0
01/01/1974;351174f21316c2f0;temporary;Others;0
01/01/1974;df2cd1cbe849ebd0;temporary;Others;0
01/01/1974;617532f74ef8ed73;temporary;Others;0
01/01/1974;f8e70145d73bd728;temporary;Others;0
01/01/1974;40abcc3eff7bcf73;temporary;Others;0
01/01/1974;902f3a9003f7e637;temporary;Others;0
01/01/1974;d6f1f98b1745e004;temporary;Others;0
01/01/1974;351bc0cbcce79ec9;temporary;Others;0
01/01/1974;e635f6b0f8a98808;temporary;Others;0
01/01/1974;764cd56389d50070;temporary;Others;0
01/01/1974;a51be58f39d1d625;temporary;Others;0
01/01/1974;051e9cc7d7636816;temporary;Others;0
01/01/1974;66fdcb391ed58d3d;temporary;Others;0
01/01/1974;114487007645c940;temporary;Others;0
01/01/1974;5214b514b5b440be;temporary;Others;0
01/01/1974;41e0f8ccfe523e0d;temporary;Others;0
01/01/1974;3a5d0e5eb1691b38;temporary;Others;0
01/01/1974;a7187a1b5b870cf4;temporary;Others;0
01/01/1974;878bd5338ba55697;temporary;Others;0
01/01/1974;c118b149223ba711;temporary;Others;0
01/01/1974;c129d0cd5f1afd51;temporary;Others;0
01/01/1974;70a4c62beba3c168;temporary;Others;0
01/01/1974;20589298110cd872;temporary;Others;0
01/01/1974;7e56bd83460aabc7;temporary;Others;0
01/01/1974;c0019c9a4b4819f2;temporary;Others;0
01/01/1974;d6ffd6d7dfe22d57;temporary;Others;0
01/01/1974;3cf541a13002d37b;temporary;Others;0
01/01/1974;11b6622567f98f3b;temporary;Others;0
01/01/1974;77c880feff17c521;temporary;Others;0
01/01/1974;3fdbc27a4bed0deb;temporary;Others;0
01/01/1974;74d75dde6dc4a5ec;temporary;Others;0
01/01/1974;44d800c11a5f3bfa;temporary;Others;0
01/01/1974;b73e63cd3a2904c9;temporary;Others;0
01/01/1974;03e477d4ede00e89;temporary;Others;0
01/01/1974;855f882ce507aba5;temporary;Others;0
01/01/1974;ae345f007f327b22;temporary;Others;0
01/01/1974;f4612b8b5a8223b5;temporary;Others;0
01/01/1974;8e0eb10270d768f8;temporary;Others;0
01/01/1974;2a6b10e6e68be90e;temporary;Others;0
01/01/1974;18e37d24ff8517ef;temporary;Others;0
01/01/1974;6a7b8c3ab2bc6c38;temporary;Others;0
01/01/1974;7926ffd2861f8dbc;temporary;Others;0
01/01/1974;783dbed4df67af9f;temporary;Others;0
01/01/1974;b4bb04d2a6472ea0;temporary;Others;0
01/01/1974;d42d0e216f57b2ae;temporary;Others;0
01/01/1974;a1b03f0e4d79b4fe;temporary;Others;0
01/01/1974;6471ede39ca61b39;temporary;Others;0
01/01/1974;f3c2cc112eb0e6fe;temporary;Others;0
01/01/1974;9ce50fa197613de1;temporary;Others;0
01/01/1974;807c5037e6993f2c;temporary;Others;0
01/01/1974;782568ced6ad8838;temporary;Others;0
01/01/1974;51db62cb09adc2e8;temporary;Others;0
01/01/1974;bce36d2f8aa39d8b;temporary;Others;0
01/01/1974;3a8618990d23351f;temporary;Others;0
01/01/1974;20e241460ce4140d;temporary;Others;0
01/01/1974;857b720c7c979ae1;temporary;Others;0
01/01/1974;505ceb6546aa8435;temporary;Others;0
01/01/1974;abcadd700f8948e3;temporary;Others;0
01/01/1974;cdc89121a4b9478b;temporary;Others;0
01/01/1974;a454a6655aaaaaed;temporary;Others;0
01/01/1974;6f911ef231b0efa7;temporary;Others;0
01/01/1974;1bd7145ed1da044a;temporary;Others;0
01/01/1974;07ed828db19fe8ca;temporary;Others;0
01/01/1974;841ef18dcb3dbc3e;temporary;Others;0
01/01/1974;437130e27b6165ec;temporary;Others;0
01/01/1974;fda49275fbf5caf6;temporary;Others;0
01/01/1974;2631530645ac2ec8;temporary;Others;0
01/01/1974;0ea136556d12fc16;temporary;Others;0
01/01/1974;ba4547c678a9a2e6;temporary;Others;0
01/01/1974;50a2afbdc678a65f;temporary;Others;0
01/01/1974;d0f5f5b9fcecb0d8;temporary;Others;0
01/01/1974;56aa50429893f5ca;temporary;Others;0
01/01/1974;18fb5197aa553b9c;temporary;Others;0
01/01/1974;72b65b337fc5302a;temporary;Others;0
01/01/1974;a245de687a867003;temporary;Others;0
01/01/1974;9bc907eeb9e3fc52;temporary;Others;0
01/01/1974;fae378a53734da72;temporary;Others;0
01/01/1974;09791645137aa877;temporary;Others;0
01/01/1974;be4424aa54f8d2ae;temporary;Others;0
01/01/1974;60982e0f7928740a;temporary;Others;0
01/01/1974;07ce2e79e19977e9;temporary;Others;0
01/01/1974;205ccde9be499e17;temporary;Others;0
01/01/1974;cead2cbd1f8f0b86;temporary;Others;0
01/01/1974;80e8ffb027590a74;temporary;Others;0
01/01/1974;164c8953d3af2bbe;temporary;Others;0
01/01/1974;f1fd357c5adaa8dc;temporary;Others;0
01/01/1974;8a4ab531676691da;temporary;Others;0
01/01/1974;be8a37473dc63db0;temporary;Others;0
01/01/1974;c45d8ddba643c0d7;temporary;Others;0
01/01/1974;ad622472210b0b57;temporary;Others;0
01/01/1974;b0e4b4b27117562a;temporary;Others;0
01/01/1974;64a227aa24370b17;temporary;Others;0
01/01/1975;960b4f2c94a2fb2c;temporary;Others;0
01/01/1975;746cc42bfb8f6b62;temporary;Others;0
01/01/1975;6cce2bf873870afc;temporary;Others;0
01/01/1975;4de42e351006a2ae;temporary;Others;0
01/01/1975;5b6072f8f6d37acc;temporary;Others;0
01/01/1975;eac302b92f87d9ca;temporary;Others;0
01/01/1975;ab984377b2dc0284;temporary;Others;0
01/01/1975;074590cfc1c41ebf;temporary;Others;0
01/01/1975;0307883b5d063703;temporary;Others;0
01/01/1975;062ce4c17e84291e;temporary;Others;0
01/01/1975;8910840651ee3971;temporary;Others;0
01/01/1975;4c4428f2e4550a5a;temporary;Others;0
01/01/1975;86d92d4b0a058014;temporary;Others;0
01/01/1975;13804a196311e1ba;temporary;Others;0
01/01/1975;f67358b81451a8d1;temporary;Others;0
01/01/1975;68f01d67ad163f32;temporary;Others;0
01/01/1975;71975b563db10671;temporary;Others;0
01/01/1975;df19203419d2ea64;temporary;Others;0
01/01/1975;773cbe24d8fc9fea;temporary;Others;0
01/01/1975;10973d6049af898b;temporary;Others;0
01/01/1975;cf96db4cc35ea025;temporary;Others;0
01/01/1975;4b530007d167bd54;temporary;Others;0
01/01/1975;a4d1e1ff1bc3b830;temporary;Others;0
01/01/1975;0dcbfaab30eb40c1;temporary;Others;0
01/01/1975;47564ef7b8c69829;temporary;Others;0
01/01/1975;1096f26c5a236d0b;temporary;Others;0
01/01/1975;8ef25b4985bc557a;temporary;Others;0
01/01/1975;9d8776ac0a78d908;temporary;Others;0
01/01/1975;07bba1a59af78f2d;temporary;Others;0
01/01/1975;ba23b66825fc1c91;temporary;Others;0
01/01/1975;9bd4f108a319de42;temporary;Others;0
01/01/1975;1d8a692643f9a15a;temporary;Others;0
01/01/1975;cb23149538de1c42;temporary;Others;0
01/01/1975;5e1e131ec84f4c87;temporary;Others;0
01/01/1975;ec84c1e86735dc9b;temporary;Others;0
01/01/1975;11645a57d3a1d507;temporary;Others;0
01/01/1975;85adcb13676b6172;temporary;Others;0
01/01/1975;5b3728d86ce29fd2;temporary;Others;0
01/01/1975;7f076b180f941ec8;temporary;Others;0
01/01/1975;2ad055c7757d499d;temporary;Others;0
01/01/1975;480b0f80325080af;temporary;Others;0
01/01/1975;f39d21744916469c;temporary;Others;0
01/01/1975;fa005e1ffef6032a;temporary;Others;0
01/01/1975;b4829f1e221d9778;temporary;Others;0
01/01/1975;93656feaf53efbef;temporary;Others;0
01/01/1975;588162e9cdf5d66d;temporary;Others;0
01/01/1975;de1994d393ef525a;temporary;Others;0
01/01/1975;a18af8fbae254d86;temporary;Others;0
01/01/1975;8ca7766621b0ffe9;temporary;Others;0
01/01/1975;5e7093a1cd2a8779;temporary;Others;0
01/01/1975;7b95e27ce402e6e5;temporary;Others;0
01/01/1975;351174f21316c2f0;temporary;Others;0
01/01/1975;df2cd1cbe849ebd0;temporary;Others;0
01/01/1975;617532f74ef8ed73;temporary;Others;0
01/01/1975;f8e70145d73bd728;temporary;Others;0
01/01/1975;40abcc3eff7bcf73;temporary;Others;0
01/01/1975;902f3a9003f7e637;temporary;Others;0
01/01/1975;d6f1f98b1745e004;temporary;Others;0
01/01/1975;351bc0cbcce79ec9;temporary;Others;0
01/01/1975;e635f6b0f8a98808;temporary;Others;0
01/01/1975;764cd56389d50070;temporary;Others;0
01/01/1975;a51be58f39d1d625;temporary;Others;0
01/01/1975;051e9cc7d7636816;temporary;Others;0
01/01/1975;66fdcb391ed58d3d;temporary;Others;0
01/01/1975;114487007645c940;temporary;Others;0
01/01/1975;5214b514b5b440be;temporary;Others;0
01/01/1975;41e0f8ccfe523e0d;temporary;Others;0
01/01/1975;3a5d0e5eb1691b38;temporary;Others;0
01/01/1975;a7187a1b5b870cf4;temporary;Others;0
01/01/1975;878bd5338ba55697;temporary;Others;0
01/01/1975;c118b149223ba711;temporary;Others;0
01/01/1975;c129d0cd5f1afd51;temporary;Others;0
01/01/1975;70a4c62beba3c168;temporary;Others;0
01/01/1975;20589298110cd872;temporary;Others;0
01/01/1975;7e56bd83460aabc7;temporary;Others;0
01/01/1975;c0019c9a4b4819f2;temporary;Others;0
